Marker	p-value	t-statistic
CH.88L	0,14397624745404689	-1,4684272893530534
CD.116L	0,18949911112672077	-1,3177372007078365
EC.151L	0,4502480748783235	-0,7568695827877804
DFR	0,6117544475782073	-0,5085759208238039
GD.350L	0,3194796408083052	0,9986541643045305
BH.81L	0,31268032055199896	1,0128296389363536
HH.445L	0,23608160355001848	1,1893332737016007
GD.118C	0,34669388865697404	0,9438193999711844
CC.262C	0,1577005544247524	1,4195779224767704
GB.102L	0,3187070585493423	1,0002746645784175
HH.143C	0,9792543862395147	-0,02604490663080446
BF.168L	0,7754335850353766	0,28576347487185105
DF.119L	0,8666683342638362	0,16816526535392082
GD.222C	0,6233161258498962	0,4921220686648526
EG.205L	0,2503892061835959	1,153614986776598
